collected_at,symbol,datetime,open,high,low,close,volume,interval,exchange,currency
2026-07-30T17:37:33+00:00,CAT,2026-07-10,930.67999,957.98999,928.5,952.40997,1959400,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-07-13,939.21002,946.75,924.38,931.46997,1991000,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-07-14,958.0,964.63,925.5,933.34003,2028600,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-07-15,938.58002,938.58002,890.40002,914.29999,2703600,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-07-16,891.77002,902.0,868.88,877.16998,3586600,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-07-17,841.72998,893.19,838.33002,880.28003,3377200,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-07-20,890.0,894.37,861.27002,864.29999,2770000,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-07-21,887.48999,898.0,876.01001,889.96997,3219600,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-07-22,877.28998,902.57001,872.94,889.31,1976900,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-07-23,886.56,909.59998,881.95001,894.53998,2677100,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-07-24,895.0,902.82001,881.19,888.72998,1982100,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-07-27,887.5,894.02002,839.58002,873.28003,3150000,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-07-28,855.76001,855.82001,824.0,840.84998,3808600,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-07-29,810.22998,822.79498,776.044983,782.71002,5135151,1day,NYSE,USD
2026-07-30T17:37:33+00:00,CAT,2026-07-30,810.75,822.28,801.68,808.42,424384,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-06-17,585.28003,598.47998,583.20001,588.46997,1517200,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-06-18,595.51001,598.21002,587.84003,589.23999,1436100,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-06-22,589.5,603.89001,587.40997,598.59003,934200,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-06-23,590.059998,601.38,583.38,591.94,1384000,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-06-24,592.69,612.97998,592.0,600.75,1239400,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-06-25,606.46002,631.92999,604.01001,630.76001,1262300,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-06-26,622.77002,630.049988,612.15997,613.23999,2319500,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-06-29,614.10999,628.17999,608.62,626.63,1207600,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-06-30,626.16998,636.28998,617.58002,634.33002,1758400,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-07-01,629.32001,633.79999,619.29999,627.63,1636900,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-07-02,638.039978,638.98999,615.12,621.27002,1288800,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-07-06,619.15002,637.70001,617.67999,635.23999,1081700,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-07-07,630.34003,634.94,592.5,603.60999,1433100,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-07-08,599.97998,601.5,590.77002,596.73999,1001100,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-07-09,602.84998,606.0,591.37,592.90002,840800,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-07-10,596.21997,599.44,586.67999,586.85999,782100,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-07-13,585.78998,587.83002,582.01001,585.64001,996000,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-07-14,594.83002,601.0,579.62,584.40002,951000,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-07-15,583.91998,590.17999,576.45001,589.47998,1013700,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-07-16,585.0,599.75,583.90002,598.96997,807800,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-07-17,596.049988,614.91998,595.73999,597.23999,938800,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-07-20,597.47998,599.76001,582.5,586.0,1105900,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-07-21,592.0,596.0,580.02002,586.88,950700,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-07-22,589.90002,609.37,589.90002,607.33002,990100,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-07-23,610.0,615.95001,606.73999,610.02002,1695300,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-07-24,612.21002,629.34003,611.28998,628.15997,960300,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-07-27,627.71002,628.030029,612.38,625.02002,876500,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-07-28,630.21997,643.98999,628.0,639.84003,1360000,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-07-29,631.42999,634.0050049,608.21002,610.95001,1154471,1day,NYSE,USD
2026-07-30T17:37:33+00:00,DE,2026-07-30,600.44,604.59,590.63,600.82,129604,1day,NYSE,USD
2026-07-30T17:37:33+00:00,HON,2026-06-17,230.44,234.7,227.89,228.61,5988800,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-06-18,232.28999,232.88,226.89,229.0099945,6654200,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-06-22,229.78,231.39999,227.2,228.11,4030000,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-06-23,225.63,225.78,220.64,222.37,6402500,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-06-24,223.82001,228.81,223.71001,227.42,4101800,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-06-25,238.87782,248.94598,238.87782,242.51704,5579501,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-06-26,240.72365,245.055054,237.32564,243.53435,17047627,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-06-29,240.64999,252.0,227.16,227.8,7773000,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-06-30,231.35001,232.55,219.33,223.89999,6010600,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-07-01,227.31,227.31,220.60001,221.75,6204600,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-07-02,222.28,230.13,220.22,229.86,5659100,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-07-06,229.14999,231.86,222.85001,231.17999,7539100,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-07-07,230.42,234.64,222.050003,225.050003,4462900,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-07-08,223.0,223.059998,218.7,220.36,4323100,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-07-09,221.22,223.5,218.10001,223.42,3026400,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-07-10,224.050003,228.78,222.11,226.42,2601700,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-07-13,225.95,226.87,220.39,222.25,2585800,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-07-14,223.3,225.78,222.22,222.67999,2123900,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-07-15,222.5,225.91,220.53999,222.84,2515100,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-07-16,221.17,226.39999,221.17,226.33,3149600,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-07-17,225.96001,230.47,224.53,225.020004,3920200,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-07-20,225.0,227.77,223.59,226.17999,3114100,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-07-21,227.89999,232.84,225.50999,229.86,2405300,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-07-22,232.46001,238.11,231.32001,232.99001,3798800,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-07-23,238.0,250.27,237.69,246.27,6306300,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-07-24,246.89,247.75,239.12,243.14999,3822500,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-07-27,244.5,248.0099945,242.53,245.75,4053300,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-07-28,249.8,252.0,246.089996,247.050003,2945300,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-07-29,245.75999,246.24001,240.32001,241.12,2490935,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,HON,2026-07-30,241.47,241.875,237.39,239.96,273832,1day,NASDAQ,USD
2026-07-30T17:37:33+00:00,GE,2026-06-17,352.10999,362.32999,350.0,357.029999,5029400,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-06-18,362.85001,364.70001,357.10001,357.64001,7763400,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-06-22,357.64001,361.28,354.54001,355.12,5426700,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-06-23,349.28,359.92001,347.76999,356.47,4735200,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-06-24,356.84,369.25,355.66,365.88,6453700,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-06-25,367.64999,379.67001,366.51001,371.35999,7591800,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-06-26,368.39999,371.44,363.82001,369.0,8360900,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-06-29,367.82001,376.0,367.47,373.70999,6071500,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-06-30,374.60999,376.82001,368.73999,373.73001,4887500,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-07-01,375.029999,376.69,371.38,374.94,3951400,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-07-02,379.79001,382.97,374.37,377.51999,3274700,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-07-06,377.17001,380.29001,373.84,378.67999,4065400,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-07-07,377.39999,377.89999,363.63,366.98001,4263100,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-07-08,360.12,363.01001,354.25,356.029999,4214900,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-07-09,361.59,362.26001,357.87,359.040009,3045200,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-07-10,356.81,360.69,353.75,359.26999,2335100,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-07-13,356.17001,358.70001,352.029999,353.42001,2668900,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-07-14,355.01001,359.20001,352.57001,353.73001,4416200,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-07-15,355.60001,360.63,353.35001,360.35001,5429300,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-07-16,353.22,354.26999,336.53,345.73001,6883600,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-07-17,346.98999,357.059998,343.019989,348.82999,5596300,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-07-20,353.79999,357.10001,339.89001,341.29999,3887100,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-07-21,345.0,346.25,340.01001,340.70001,3938600,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-07-22,340.70999,345.20001,340.37,341.19,4200100,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-07-23,340.0,349.72,338.60001,349.0,3823600,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-07-24,350.23999,359.98999,350.20001,353.73001,2958900,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-07-27,359.85999,365.5,356.059998,361.60999,3839200,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-07-28,364.57999,366.76999,358.19,363.59,3625900,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-07-29,362.70001,362.70001,348.83521,350.63,3715966,1day,NYSE,USD
2026-07-30T17:37:33+00:00,GE,2026-07-30,354.56,355.83,347.74,354.35,282620,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-06-17,161.5,164.3,158.87,159.23,3781500,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-06-18,161.61,162.22,159.91,160.60001,6934500,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-06-22,161.029999,163.56,160.52,163.22,2642100,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-06-23,162.029999,164.17,161.0,161.84,2816100,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-06-24,162.45,168.42999,161.58,165.91,4556000,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-06-25,167.17,169.75999,166.62,167.97,2381800,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-06-26,167.16,167.8,163.37,164.0099945,6334000,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-06-29,164.21001,165.59,161.75999,162.42999,5260400,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-06-30,163.69,165.25,160.91,161.91,4024600,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-07-01,162.11,163.0,159.22,159.96001,2662100,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-07-02,161.36,162.0,159.61,160.44,1837600,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-07-06,160.42,160.45,156.050003,159.14999,2180100,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-07-07,159.81,159.89999,156.42999,158.0099945,1839300,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-07-08,156.0,156.49001,153.56,154.7,2310900,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-07-09,156.44,157.31,154.60001,155.34,3829900,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-07-10,155.53,158.41,155.39999,157.52,1945300,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-07-13,157.22,159.39999,156.75999,157.7,1726400,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-07-14,158.77,159.77,155.92,156.58,3579200,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-07-15,157.64999,163.020004,157.0,160.53,3287100,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-07-16,159.88,163.35001,159.12,161.77,3482400,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-07-17,163.67,164.23,159.73,159.84,2922700,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-07-20,160.42,161.67999,159.0099945,159.11,4063900,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-07-21,169.089996,176.16,169.0,170.75999,11003500,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-07-22,172.050003,174.64999,169.73,170.75999,4593800,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-07-23,170.99001,171.99001,168.32001,169.59,4736800,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-07-24,170.31,173.35001,169.46001,172.62,4101300,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-07-27,175.16,179.28999,173.52,178.23,4826300,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-07-28,179.60001,184.89999,178.98,182.48,5501400,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-07-29,181.12,182.19,177.55,177.95,4821248,1day,NYSE,USD
2026-07-30T17:37:33+00:00,MMM,2026-07-30,178.03,178.375,174.01,176.25,387704,1day,NYSE,USD
